FIPS_Code,State,Area_Name,Median_Household_Income_2022
01131,AL,"Wilcox County, AL",33682
01133,AL,"Winston County, AL",51149
02000,AK,Alaska,88072
02013,AK,"Aleutians East Borough, AK",85852
02016,AK,"Aleutians West Census Area, AK",112218
02020,AK,"Anchorage Borough/municipality, AK",99162
02050,AK,"Bethel Census Area, AK",59011
02060,AK,"Bristol Bay Borough, AK",96382
02063,AK,"Chugach Census Area, AK",91356
02066,AK,"Copper River Census Area, AK",63837
02068,AK,"Denali Borough, AK",90897
02070,AK,"Dillingham Census Area, AK",69716
02090,AK,"Fairbanks North Star Borough, AK",84166
02100,AK,"Haines Borough, AK",70610
02105,AK,"Hoonah-Angoon Census Area, AK",64181
02110,AK,"Juneau Borough/city, AK",102097
02122,AK,"Kenai Peninsula Borough, AK",76254
02130,AK,"Ketchikan Gateway Borough, AK",82648
02150,AK,"Kodiak Island Borough, AK",83222
02158,AK,"Kusilvak Census Area, AK",41824
02164,AK,"Lake and Peninsula Borough, AK",63038
02170,AK,"Matanuska-Susitna Borough, AK",86313
02180,AK,"Nome Census Area, AK",64480
02185,AK,"North Slope Borough, AK",95795
02188,AK,"Northwest Arctic Borough, AK",69234
02195,AK,"Petersburg Borough, AK",76641
02198,AK,"Prince of Wales-Hyder Census Area, AK",58381
02201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",
02220,AK,"Sitka Borough/city, AK",90345
02230,AK,"Skagway Municipality, AK",73603
02232,AK,"Skagway-Hoonah-Angoon Census Area, AK",
02240,AK,"Southeast Fairbanks Census Area, AK",74732
02261,AK,"Valdez-Cordova Census Area, AK",79867
02275,AK,"Wrangell Borough/city, AK",67761
02280,AK,"Wrangell-Petersburg Census Area, AK",63516
02282,AK,"Yakutat Borough/city, AK",78552
02290,AK,"Yukon-Koyukuk Census Area, AK",47798
04000,AZ,Arizona,74355
04001,AZ,"Apache County, AZ",40632
04003,AZ,"Cochise County, AZ",55254
04005,AZ,"Coconino County, AZ",64016
04007,AZ,"Gila County, AZ",51928
04009,AZ,"Graham County, AZ",63797
04011,AZ,"Greenlee County, AZ",76338
04012,AZ,"La Paz County, AZ",53925
04013,AZ,"Maricopa County, AZ",83668
04015,AZ,"Mohave County, AZ",54842
04017,AZ,"Navajo County, AZ",49948
04019,AZ,"Pima County, AZ",64007
04021,AZ,"Pinal County, AZ",76232
04023,AZ,"Santa Cruz County, AZ",53467
04025,AZ,"Yavapai County, AZ",64187
04027,AZ,"Yuma County, AZ",54209
05000,AR,Arkansas,55505
05001,AR,"Arkansas County, AR",52145
05003,AR,"Ashley County, AR",47253
05005,AR,"Baxter County, AR",48573
05007,AR,"Benton County, AR",86374
05009,AR,"Boone County, AR",53025
05011,AR,"Bradley County, AR",44982
05013,AR,"Calhoun County, AR",52535
05015,AR,"Carroll County, AR",50433
05017,AR,"Chicot County, AR",38217
05019,AR,"Clark County, AR",50519
05021,AR,"Clay County, AR",46855
05023,AR,"Cleburne County, AR",52662
05025,AR,"Cleveland County, AR",55533
05027,AR,"Columbia County, AR",47278
05029,AR,"Conway County, AR",52405
05031,AR,"Craighead County, AR",60580
05033,AR,"Crawford County, AR",54741
05035,AR,"Crittenden County, AR",49644
05037,AR,"Cross County, AR",48299
05039,AR,"Dallas County, AR",44476
05041,AR,"Desha County, AR",41251
05043,AR,"Drew County, AR",48635
05045,AR,"Faulkner County, AR",63429
05047,AR,"Franklin County, AR",48248
05049,AR,"Fulton County, AR",42588
05051,AR,"Garland County, AR",53239
05053,AR,"Grant County, AR",63512
05055,AR,"Greene County, AR",54475
05057,AR,"Hempstead County, AR",46423
05059,AR,"Hot Spring County, AR",50654
05061,AR,"Howard County, AR",46449
05063,AR,"Independence County, AR",57611
05065,AR,"Izard County, AR",43920
05067,AR,"Jackson County, AR",43579
05069,AR,"Jefferson County, AR",45894
05071,AR,"Johnson County, AR",46660
05073,AR,"Lafayette County, AR",42437
05075,AR,"Lawrence County, AR",47312
05077,AR,"Lee County, AR",35213
05079,AR,"Lincoln County, AR",48311
05081,AR,"Little River County, AR",48883
05083,AR,"Logan County, AR",48510
05085,AR,"Lonoke County, AR",66160
05087,AR,"Madison County, AR",51233
05089,AR,"Marion County, AR",49313
05091,AR,"Miller County, AR",48652
05093,AR,"Mississippi County, AR",45168
05095,AR,"Monroe County, AR",33090
05097,AR,"Montgomery County, AR",46069
05099,AR,"Nevada County, AR",44649
05101,AR,"Newton County, AR",47996
05103,AR,"Ouachita County, AR",49275
05105,AR,"Perry County, AR",56640
05107,AR,"Phillips County, AR",36098
05109,AR,"Pike County, AR",41348
05111,AR,"Poinsett County, AR",47372
05113,AR,"Polk County, AR",45289
05115,AR,"Pope County, AR",57881
05117,AR,"Prairie County, AR",51017
05119,AR,"Pulaski County, AR",57057
05121,AR,"Randolph County, AR",45638
05123,AR,"St. Francis County, AR",38062
05125,AR,"Saline County, AR",70330
05127,AR,"Scott County, AR",42599
05129,AR,"Searcy County, AR",38070
05131,AR,"Sebastian County, AR",52679
05133,AR,"Sevier County, AR",49384
05135,AR,"Sharp County, AR",45740
05137,AR,"Stone County, AR",41063
05139,AR,"Union County, AR",50258
05141,AR,"Van Buren County, AR",47150
05143,AR,"Washington County, AR",62100
05145,AR,"White County, AR",56866
05147,AR,"Woodruff County, AR",41225
05149,AR,"Yell County, AR",50275
06000,CA,California,91517
06001,CA,"Alameda County, CA",121190
06003,CA,"Alpine County, CA",71646
06005,CA,"Amador County, CA",74356
06007,CA,"Butte County, CA",63353
06009,CA,"Calaveras County, CA",73175
06011,CA,"Colusa County, CA",72963
06013,CA,"Contra Costa County, CA",119667
06015,CA,"Del Norte County, CA",57297
06017,CA,"El Dorado County, CA",104859
06019,CA,"Fresno County, CA",68693
06021,CA,"Glenn County, CA",63247
06023,CA,"Humboldt County, CA",57660
06025,CA,"Imperial County, CA",55523
06027,CA,"Inyo County, CA",64332
06029,CA,"Kern County, CA",65981
06031,CA,"Kings County, CA",63683
06033,CA,"Lake County, CA",51848
06035,CA,"Lassen County, CA",60308
06037,CA,"Los Angeles County, CA",82455
06039,CA,"Madera County, CA",71273
06041,CA,"Marin County, CA",135960
06043,CA,"Mariposa County, CA",66513
06045,CA,"Mendocino County, CA",63621
06047,CA,"Merced County, CA",65253
06049,CA,"Modoc County, CA",51166
06051,CA,"Mono County, CA",79105
06053,CA,"Monterey County, CA",91450
06055,CA,"Napa County, CA",98580
06057,CA,"Nevada County, CA",80069
06059,CA,"Orange County, CA",106047
06061,CA,"Placer County, CA",106114
06063,CA,"Plumas County, CA",66725
06065,CA,"Riverside County, CA",86350
06067,CA,"Sacramento County, CA",83985
06069,CA,"San Benito County, CA",106560
06071,CA,"San Bernardino County, CA",78779
06073,CA,"San Diego County, CA",98365
06075,CA,"San Francisco County/city, CA",135366
06077,CA,"San Joaquin County, CA",84738
06079,CA,"San Luis Obispo County, CA",88578
06081,CA,"San Mateo County, CA",143795
06083,CA,"Santa Barbara County, CA",89334
06085,CA,"Santa Clara County, CA",150502
06087,CA,"Santa Cruz County, CA",99256
06089,CA,"Shasta County, CA",66312
06091,CA,"Sierra County, CA",63939
06093,CA,"Siskiyou County, CA",51593
06095,CA,"Solano County, CA",92711
06097,CA,"Sonoma County, CA",96312
06099,CA,"Stanislaus County, CA",75249
06101,CA,"Sutter County, CA",66071
06103,CA,"Tehama County, CA",58900
06105,CA,"Trinity County, CA",49485
06107,CA,"Tulare County, CA",64313
06109,CA,"Tuolumne County, CA",70108
06111,CA,"Ventura County, CA",101981
06113,CA,"Yolo County, CA",82359
06115,CA,"Yuba County, CA",63626
08000,CO,Colorado,89096
08001,CO,"Adams County, CO",89849
08003,CO,"Alamosa County, CO",53942
08005,CO,"Arapahoe County, CO",93525
08007,CO,"Archuleta County, CO",66025
08009,CO,"Baca County, CO",47147
08011,CO,"Bent County, CO",42958
08013,CO,"Boulder County, CO",96584
08014,CO,"Broomfield County/city, CO",114746
08015,CO,"Chaffee County, CO",75151
08017,CO,"Cheyenne County, CO",62891
08019,CO,"Clear Creek County, CO",90350
08021,CO,"Conejos County, CO",49141
08023,CO,"Costilla County, CO",36970
08025,CO,"Crowley County, CO",49785
08027,CO,"Custer County, CO",67766
08029,CO,"Delta County, CO",53910
08031,CO,"Denver County/city, CO",87619
08033,CO,"Dolores County, CO",56695
08035,CO,"Douglas County, CO",140768
08037,CO,"Eagle County, CO",105813
08039,CO,"Elbert County, CO",120394
08041,CO,"El Paso County, CO",82248
08043,CO,"Fremont County, CO",57275
08045,CO,"Garfield County, CO",86566
08047,CO,"Gilpin County, CO",89805
08049,CO,"Grand County, CO",88059
08051,CO,"Gunnison County, CO",88855
08053,CO,"Hinsdale County, CO",70675
08055,CO,"Huerfano County, CO",47968
08057,CO,"Jackson County, CO",62439
08059,CO,"Jefferson County, CO",102413
08061,CO,"Kiowa County, CO",55573
08063,CO,"Kit Carson County, CO",56720
08065,CO,"Lake County, CO",71326
08067,CO,"La Plata County, CO",79358
08069,CO,"Larimer County, CO",88338
08071,CO,"Las Animas County, CO",49097
08073,CO,"Lincoln County, CO",54345
08075,CO,"Logan County, CO",58976
08077,CO,"Mesa County, CO",69578
08079,CO,"Mineral County, CO",69794
08081,CO,"Moffat County, CO",69088
08083,CO,"Montezuma County, CO",58345
08085,CO,"Montrose County, CO",65736
08087,CO,"Morgan County, CO",65599
08089,CO,"Otero County, CO",46607
08091,CO,"Ouray County, CO",90837
08093,CO,"Park County, CO",88020
08095,CO,"Phillips County, CO",68571
08097,CO,"Pitkin County, CO",111291
08099,CO,"Prowers County, CO",48832
08101,CO,"Pueblo County, CO",58314
08103,CO,"Rio Blanco County, CO",71630
08105,CO,"Rio Grande County, CO",56877
08107,CO,"Routt County, CO",104407
08109,CO,"Saguache County, CO",45048
08111,CO,"San Juan County, CO",62732
08113,CO,"San Miguel County, CO",94387
08115,CO,"Sedgwick County, CO",46980
08117,CO,"Summit County, CO",96984
08119,CO,"Teller County, CO",81466
08121,CO,"Washington County, CO",61492
08123,CO,"Weld County, CO",90770
08125,CO,"Yuma County, CO",56075
09000,CT,Connecticut,88182
09001,CT,"Fairfield County, CT",95645
09003,CT,"Hartford County, CT",75148
09005,CT,"Litchfield County, CT",79906
09007,CT,"Middlesex County, CT",85898
09009,CT,"New Haven County, CT",69905
09011,CT,"New London County, CT",73490
09013,CT,"Tolland County, CT",87069
09015,CT,"Windham County, CT",66550
09110,CT,"Capitol Planning Region, CT",84551
09120,CT,"Greater Bridgeport Planning Region, CT",81042
09130,CT,"Lower Connecticut River Valley Planning Region, CT",99557
09140,CT,"Naugatuck Valley Planning Region, CT",81783
09150,CT,"Northeastern Connecticut Planning Region, CT",81711
09160,CT,"Northwest Hills Planning Region, CT",87206
09170,CT,"South Central Connecticut Planning Region, CT",84615
09180,CT,"Southeastern Connecticut Planning Region, CT",80159
09190,CT,"Western Connecticut Planning Region, CT",122080
10000,DE,Delaware,81933
10001,DE,"Kent County, DE",71866
10003,DE,"New Castle County, DE",85427
10005,DE,"Sussex County, DE",81188
11000,DC,District of Columbia,99897
11001,DC,District of Columbia,99897
12000,FL,Florida,69287
12001,FL,"Alachua County, FL",58783
12003,FL,"Baker County, FL",67375
12005,FL,"Bay County, FL",65521
12007,FL,"Bradford County, FL",57664
12009,FL,"Brevard County, FL",74899
12011,FL,"Broward County, FL",70834
12013,FL,"Calhoun County, FL",46766
12015,FL,"Charlotte County, FL",65040
12017,FL,"Citrus County, FL",52534
12019,FL,"Clay County, FL",84364
12021,FL,"Collier County, FL",81821
12023,FL,"Columbia County, FL",54060
12027,FL,"DeSoto County, FL",47097
12029,FL,"Dixie County, FL",40587
12031,FL,"Duval County, FL",70203
12033,FL,"Escambia County, FL",61634
12035,FL,"Flagler County, FL",73336
12037,FL,"Franklin County, FL",52180
12039,FL,"Gadsden County, FL",45628
12041,FL,"Gilchrist County, FL",58178
12043,FL,"Glades County, FL",50559
12045,FL,"Gulf County, FL",55909
12047,FL,"Hamilton County, FL",45484
12049,FL,"Hardee County, FL",48572
12051,FL,"Hendry County, FL",55308
12053,FL,"Hernando County, FL",60582
12055,FL,"Highlands County, FL",51954
12057,FL,"Hillsborough County, FL",74091
12059,FL,"Holmes County, FL",50118
12061,FL,"Indian River County, FL",69462
12063,FL,"Jackson County, FL",50625
12065,FL,"Jefferson County, FL",56900
12067,FL,"Lafayette County, FL",50775
12069,FL,"Lake County, FL",67637
12071,FL,"Lee County, FL",71607
12073,FL,"Leon County, FL",61560
12075,FL,"Levy County, FL",55147
12077,FL,"Liberty County, FL",49514
12079,FL,"Madison County, FL",46141
12081,FL,"Manatee County, FL",72176
12083,FL,"Marion County, FL",54517
12085,FL,"Martin County, FL",80678
12086,FL,"Miami-Dade County, FL",66952
12087,FL,"Monroe County, FL",79459
12089,FL,"Nassau County, FL",90808
12091,FL,"Okaloosa County, FL",76663
12093,FL,"Okeechobee County, FL",50176
12095,FL,"Orange County, FL",72129
12097,FL,"Osceola County, FL",63782
12099,FL,"Palm Beach County, FL",76713
12101,FL,"Pasco County, FL",65933
12103,FL,"Pinellas County, FL",66427
12105,FL,"Polk County, FL",61941
12107,FL,"Putnam County, FL",46459
12109,FL,"St. Johns County, FL",103757
12111,FL,"St. Lucie County, FL",64038
12113,FL,"Santa Rosa County, FL",82537
12115,FL,"Sarasota County, FL",78309
12117,FL,"Seminole County, FL",80296
12119,FL,"Sumter County, FL",77851
12121,FL,"Suwannee County, FL",51295
12123,FL,"Taylor County, FL",48482
12125,FL,"Union County, FL",60749
12127,FL,"Volusia County, FL",64601
12129,FL,"Wakulla County, FL",63482
12131,FL,"Walton County, FL",78814
12133,FL,"Washington County, FL",49233
13000,GA,Georgia,72742
13001,GA,"Appling County, GA",51217
13003,GA,"Atkinson County, GA",46060
13005,GA,"Bacon County, GA",46044
13007,GA,"Baker County, GA",50129
13009,GA,"Baldwin County, GA",49883
13011,GA,"Banks County, GA",66928
13013,GA,"Barrow County, GA",77583
13015,GA,"Bartow County, GA",80017
13017,GA,"Ben Hill County, GA",41141
13019,GA,"Berrien County, GA",48725
13021,GA,"Bibb County, GA",48539
13023,GA,"Bleckley County, GA",56070
13025,GA,"Brantley County, GA",50370
13027,GA,"Brooks County, GA",43353
13029,GA,"Bryan County, GA",93057
13031,GA,"Bulloch County, GA",49471
13033,GA,"Burke County, GA",49431
13035,GA,"Butts County, GA",62231
13037,GA,"Calhoun County, GA",39681
13039,GA,"Camden County, GA",67628
13043,GA,"Candler County, GA",44493
13045,GA,"Carroll County, GA",69924
13047,GA,"Catoosa County, GA",66918
13049,GA,"Charlton County, GA",48147
13051,GA,"Chatham County, GA",64029
13053,GA,"Chattahoochee County, GA",57507
13055,GA,"Chattooga County, GA",50714
13057,GA,"Cherokee County, GA",99932
13059,GA,"Clarke County, GA",49832
13061,GA,"Clay County, GA",37961
13063,GA,"Clayton County, GA",57625
13065,GA,"Clinch County, GA",45595
13067,GA,"Cobb County, GA",96798
13069,GA,"Coffee County, GA",48792
13071,GA,"Colquitt County, GA",49214
13073,GA,"Columbia County, GA",94224
13075,GA,"Cook County, GA",44476
13077,GA,"Coweta County, GA",87618
13079,GA,"Crawford County, GA",60295
13081,GA,"Crisp County, GA",43884
13083,GA,"Dade County, GA",59708
13085,GA,"Dawson County, GA",84551
13087,GA,"Decatur County, GA",46455
13089,GA,"DeKalb County, GA",76736
13091,GA,"Dodge County, GA",43783
13093,GA,"Dooly County, GA",46191
13095,GA,"Dougherty County, GA",42629
13097,GA,"Douglas County, GA",79242
13099,GA,"Early County, GA",43417
13101,GA,"Echols County, GA",47195
13103,GA,"Effingham County, GA",88111
13105,GA,"Elbert County, GA",49220
13107,GA,"Emanuel County, GA",46975
13109,GA,"Evans County, GA",45163
13111,GA,"Fannin County, GA",60604
13113,GA,"Fayette County, GA",109358
13115,GA,"Floyd County, GA",56651
13117,GA,"Forsyth County, GA",130909
13119,GA,"Franklin County, GA",49940
13121,GA,"Fulton County, GA",89798
13123,GA,"Gilmer County, GA",68294
13125,GA,"Glascock County, GA",55539
13127,GA,"Glynn County, GA",63532
13129,GA,"Gordon County, GA",63946
13131,GA,"Grady County, GA",48548
13133,GA,"Greene County, GA",74488
13135,GA,"Gwinnett County, GA",83918
13137,GA,"Habersham County, GA",62428
13139,GA,"Hall County, GA",76789
13141,GA,"Hancock County, GA",38570
13143,GA,"Haralson County, GA",57912
13145,GA,"Harris County, GA",90636
13147,GA,"Hart County, GA",56137
13149,GA,"Heard County, GA",56724
13151,GA,"Henry County, GA",82379
13153,GA,"Houston County, GA",71237
13155,GA,"Irwin County, GA",49224
13157,GA,"Jackson County, GA",82138
13159,GA,"Jasper County, GA",63718
13161,GA,"Jeff Davis County, GA",46143
13163,GA,"Jefferson County, GA",44459
13165,GA,"Jenkins County, GA",41830
13167,GA,"Johnson County, GA",42603
13169,GA,"Jones County, GA",65515
13171,GA,"Lamar County, GA",61542
13173,GA,"Lanier County, GA",50671
13175,GA,"Laurens County, GA",47918
13177,GA,"Lee County, GA",84260
13179,GA,"Liberty County, GA",59807
13181,GA,"Lincoln County, GA",69776
13183,GA,"Long County, GA",71285
13185,GA,"Lowndes County, GA",52623
13187,GA,"Lumpkin County, GA",71486
13189,GA,"McDuffie County, GA",50593
13191,GA,"McIntosh County, GA",51411
13193,GA,"Macon County, GA",40089
13195,GA,"Madison County, GA",58789
13197,GA,"Marion County, GA",47174
13199,GA,"Meriwether County, GA",53019
13201,GA,"Miller County, GA",45201
13205,GA,"Mitchell County, GA",45296
13207,GA,"Monroe County, GA",76428
13209,GA,"Montgomery County, GA",48356
13211,GA,"Morgan County, GA",74340
13213,GA,"Murray County, GA",62109
13215,GA,"Muscogee County, GA",53740
13217,GA,"Newton County, GA",72128
13219,GA,"Oconee County, GA",114758
13221,GA,"Oglethorpe County, GA",62504
13223,GA,"Paulding County, GA",87459
13225,GA,"Peach County, GA",58471
13227,GA,"Pickens County, GA",71955
13229,GA,"Pierce County, GA",52695
13231,GA,"Pike County, GA",80626
13233,GA,"Polk County, GA",54894
13235,GA,"Pulaski County, GA",46975
13237,GA,"Putnam County, GA",62241
13239,GA,"Quitman County, GA",41516
13241,GA,"Rabun County, GA",63387
13243,GA,"Randolph County, GA",39188
13245,GA,"Richmond County, GA",50079
13247,GA,"Rockdale County, GA",71984
13249,GA,"Schley County, GA",57510
13251,GA,"Screven County, GA",52713
13253,GA,"Seminole County, GA",45223
13255,GA,"Spalding County, GA",55086
13257,GA,"Stephens County, GA",51980
13259,GA,"Stewart County, GA",41158
13261,GA,"Sumter County, GA",44677
13263,GA,"Talbot County, GA",45163
13265,GA,"Taliaferro County, GA",42138
13267,GA,"Tattnall County, GA",47401
13269,GA,"Taylor County, GA",44035
13271,GA,"Telfair County, GA",41547
13273,GA,"Terrell County, GA",53281
13275,GA,"Thomas County, GA",52236
13277,GA,"Tift County, GA",52962
13279,GA,"Toombs County, GA",45125
13281,GA,"Towns County, GA",59273
13283,GA,"Treutlen County, GA",43533
13285,GA,"Troup County, GA",55852
13287,GA,"Turner County, GA",40865
13289,GA,"Twiggs County, GA",48772
13291,GA,"Union County, GA",64588
13293,GA,"Upson County, GA",48061
13295,GA,"Walker County, GA",53407
13297,GA,"Walton County, GA",83037
13299,GA,"Ware County, GA",48245
13301,GA,"Warren County, GA",44367
13303,GA,"Washington County, GA",48462
13305,GA,"Wayne County, GA",51102
13307,GA,"Webster County, GA",45987
13309,GA,"Wheeler County, GA",35952
13311,GA,"White County, GA",62100
13313,GA,"Whitfield County, GA",61680
13315,GA,"Wilcox County, GA",44905
13317,GA,"Wilkes County, GA",47377
13319,GA,"Wilkinson County, GA",49648
13321,GA,"Worth County, GA",48956
15000,HI,Hawaii,93683
15001,HI,"Hawaii County, HI",71143
15003,HI,"Honolulu County/city, HI",96304
15005,HI,"Kalawao County, HI",91435
15007,HI,"Kauai County, HI",81939
15009,HI,"Maui County, HI",89794
16000,ID,Idaho,72634
16001,ID,"Ada County, ID",87748
16003,ID,"Adams County, ID",56374
16005,ID,"Bannock County, ID",62120
16007,ID,"Bear Lake County, ID",66006
16009,ID,"Benewah County, ID",56188
16011,ID,"Bingham County, ID",70052
16013,ID,"Blaine County, ID",98707
16015,ID,"Boise County, ID",74121
16017,ID,"Bonner County, ID",64860
16019,ID,"Bonneville County, ID",74505
16021,ID,"Boundary County, ID",62801
16023,ID,"Butte County, ID",57085
16025,ID,"Camas County, ID",73311
16027,ID,"Canyon County, ID",70594
16029,ID,"Caribou County, ID",70354
16031,ID,"Cassia County, ID",68170
16033,ID,"Clark County, ID",53366
16035,ID,"Clearwater County, ID",57081
16037,ID,"Custer County, ID",57405
16039,ID,"Elmore County, ID",63009
16041,ID,"Franklin County, ID",71669
16043,ID,"Fremont County, ID",61115
16045,ID,"Gem County, ID",60771
16047,ID,"Gooding County, ID",59838
16049,ID,"Idaho County, ID",60907
16051,ID,"Jefferson County, ID",76474
16053,ID,"Jerome County, ID",61509
16055,ID,"Kootenai County, ID",75583
16057,ID,"Latah County, ID",60108
16059,ID,"Lemhi County, ID",55554
16061,ID,"Lewis County, ID",55128
16063,ID,"Lincoln County, ID",61658
16065,ID,"Madison County, ID",52224
16067,ID,"Minidoka County, ID",60834
16069,ID,"Nez Perce County, ID",65558
16071,ID,"Oneida County, ID",66175
16073,ID,"Owyhee County, ID",57142
16075,ID,"Payette County, ID",61725
16077,ID,"Power County, ID",57426
16079,ID,"Shoshone County, ID",47005
16081,ID,"Teton County, ID",95580
16083,ID,"Twin Falls County, ID",63860
16085,ID,"Valley County, ID",74166
16087,ID,"Washington County, ID",55072
17000,IL,Illinois,76744
17001,IL,"Adams County, IL",61747
17003,IL,"Alexander County, IL",41378
17005,IL,"Bond County, IL",66071
17007,IL,"Boone County, IL",83695
17009,IL,"Brown County, IL",78081
17011,IL,"Bureau County, IL",63042
17013,IL,"Calhoun County, IL",68525
17015,IL,"Carroll County, IL",64157
17017,IL,"Cass County, IL",62129
17019,IL,"Champaign County, IL",61205
17021,IL,"Christian County, IL",56888
17023,IL,"Clark County, IL",63655
17025,IL,"Clay County, IL",55282
17027,IL,"Clinton County, IL",79612
17029,IL,"Coles County, IL",57712
17031,IL,"Cook County, IL",76614
17033,IL,"Crawford County, IL",66333
17035,IL,"Cumberland County, IL",79140
17037,IL,"DeKalb County, IL",71882
17039,IL,"De Witt County, IL",64262
17041,IL,"Douglas County, IL",67796
17043,IL,"DuPage County, IL",102383
17045,IL,"Edgar County, IL",63430
17047,IL,"Edwards County, IL",58387
17049,IL,"Effingham County, IL",74800
17051,IL,"Fayette County, IL",57729
17053,IL,"Ford County, IL",67135
17055,IL,"Franklin County, IL",49108
17057,IL,"Fulton County, IL",57362
17059,IL,"Gallatin County, IL",51367
17061,IL,"Greene County, IL",58196
17063,IL,"Grundy County, IL",93882
17065,IL,"Hamilton County, IL",56984
17067,IL,"Hancock County, IL",63324
17069,IL,"Hardin County, IL",46568
17071,IL,"Henderson County, IL",61892
17073,IL,"Henry County, IL",70517
17075,IL,"Iroquois County, IL",65181
17077,IL,"Jackson County, IL",44756
17079,IL,"Jasper County, IL",66290
17081,IL,"Jefferson County, IL",58623
17083,IL,"Jersey County, IL",72363
17085,IL,"Jo Daviess County, IL",67217
17087,IL,"Johnson County, IL",59794
17089,IL,"Kane County, IL",93475
17091,IL,"Kankakee County, IL",70494
17093,IL,"Kendall County, IL",102509
17095,IL,"Knox County, IL",57666
17097,IL,"Lake County, IL",101621
17099,IL,"LaSalle County, IL",64711
17101,IL,"Lawrence County, IL",57460
17103,IL,"Lee County, IL",67371
17105,IL,"Livingston County, IL",74418
17107,IL,"Logan County, IL",53775
17109,IL,"McDonough County, IL",52812
17111,IL,"McHenry County, IL",99128
17113,IL,"McLean County, IL",71825
17115,IL,"Macon County, IL",60648
17117,IL,"Macoupin County, IL",69880
17119,IL,"Madison County, IL",67441
17121,IL,"Marion County, IL",58489
17123,IL,"Marshall County, IL",69593
17125,IL,"Mason County, IL",60784
17127,IL,"Massac County, IL",52880
17129,IL,"Menard County, IL",78115
17131,IL,"Mercer County, IL",70430
17133,IL,"Monroe County, IL",100487
17135,IL,"Montgomery County, IL",56381
17137,IL,"Morgan County, IL",64842
17139,IL,"Moultrie County, IL",75505
17141,IL,"Ogle County, IL",78577
17143,IL,"Peoria County, IL",65421
17145,IL,"Perry County, IL",53051
17147,IL,"Piatt County, IL",85430
17149,IL,"Pike County, IL",54244
17151,IL,"Pope County, IL",54878
17153,IL,"Pulaski County, IL",44873
17155,IL,"Putnam County, IL",83029
17157,IL,"Randolph County, IL",62575
17159,IL,"Richland County, IL",56831
17161,IL,"Rock Island County, IL",62652
17163,IL,"St. Clair County, IL",67185
17165,IL,"Saline County, IL",50979
17167,IL,"Sangamon County, IL",73684
17169,IL,"Schuyler County, IL",62968
17171,IL,"Scott County, IL",64853
17173,IL,"Shelby County, IL",65396
17175,IL,"Stark County, IL",59234
17177,IL,"Stephenson County, IL",60988
17179,IL,"Tazewell County, IL",73285
17181,IL,"Union County, IL",51116
17183,IL,"Vermilion County, IL",52083
17185,IL,"Wabash County, IL",63777
17187,IL,"Warren County, IL",57357
17189,IL,"Washington County, IL",71958
17191,IL,"Wayne County, IL",53359
